Date,News
16 Jan 2013,motilal-oswal-neutraltcs-target-rs-1465
16 Jan 2013,stocks-views/hcl-technologies-may-go-upto-rs-700-manghnani
16 Jan 2013,stocks-views/tcstop-pick-tirthankar-patnaik
17 Jan 2013,business/over-80-b-school-grads-prefer-consulting-as-career-survey
17 Jan 2013,buy-tcs-targetrs-1491-firstcall-research
17 Jan 2013,hold-tata-consultancy-services-target-rs-1370-way2wealth
17 Jan 2013,stocks-views/go-longtcs-says-sudarshan-sukhani
17 Jan 2013,stocks-views/tcs-can-go-upto-rs-1400-mehta
17 Jan 2013,stocks-views/tcs-can-move-to-rs-1500-says-rajen-shah
17 Jan 2013,stocks-views/tcs-has-more-roomupside-may-retest-rs-1395-thukral
18 Jan 2013,announcements/tcs-selected-by-nokia-as-global-it-partner
18 Jan 2013,business/tcs-seeks-more-time-to-setsez-unitsap-mrashtra
18 Jan 2013,stocks-views/how-to-trade-your-favourite-stocks-next-week
19 Jan 2013,stocks-views/buy-omcsdip-2013-to-be-good-for-it-stocks-pn-vijay
22 Jan 2013,announcements/tcs-bancs-to-support-bnp-paribas-custody-operationsus
23 Jan 2013,announcements/tcs-placed-asleaderoracle-application-management-services
23 Jan 2013,results-boardroom/growing-21-globally-optimisticuidai-contract-sap
25 Jan 2013,stocks-views/tcs-has-support-at-rs-1300-sukhani
28 Jan 2013,announcements/tcs-designated-as-leader2012-star-performercapital-markets-by-everest-group-research
30 Jan 2013,business/corp-affairs-min-expects-to-soon-address-mca-21-glitches
03 Feb 2013,business/m-captop-seven-cos-dip-by-rs-30797-cr
04 Feb 2013,announcements/red-hat-awards-tcs-as-system-integrator-partnerthe-year
06 Feb 2013,business/dont-see-tight-budget-for-it-sectorcy13-tcs
06 Feb 2013,stocks-views/see-higher-levelstcs-says-sudarshan-sukhani
07 Feb 2013,results-boardroom/cognizant-bullishdemand-sees-uptickclient-budgets
08 Feb 2013,announcements/rajesh-gopinathan-to-be-new-cfotcs
08 Feb 2013,result-analysis/ambit-caps-takeit-sector-after-q3-nos
11 Feb 2013,stocks-views/it-pharma-stocks-may-outperform-sukhani
11 Feb 2013,stocks-views/tata-consultancy-services-can-outperform-peers-thukral
12 Feb 2013,business/it-sector-exports-seen12-14fy2014-says-nasscom
13 Feb 2013,business/will-take-5-7-years-to-touch-another-36100bn-it-stalwarts
14 Feb 2013,stocks-views/5-intraday-picks-to-make-smart-gains
14 Feb 2013,stocks-views/buy-tcs-says-sudarshan-sukhani
18 Feb 2013,announcements/independent-research-firm-positions-tcs-as-leaderenterprise-mobility-services
18 Feb 2013,announcements/tcs-expands-uk-operationsliverpool
21 Feb 2013,stocks-views/exit-sintex-industries-buy-ril-sukhani
21 Feb 2013,stocks-views/see-more-upsidetcs-says-sudarshan-sukhani
21 Feb 2013,stocks-views/tcs-oracle-financial-good-betsit-space-says-sharma
22 Feb 2013,business/arch-rivals-infosys-tcs-to-work-togethergovt-contract
23 Feb 2013,stocks-views/how-to-trade-your-favourite-stocks-during-budget-week
26 Feb 2013,business/tcs-settles-lawsuit-by-former-employeesus
01 Mar 2013,business/tcs-pays-362975-million-to-settle-class-action-suit
04 Mar 2013,announcements/tcs-adds-over-usd-1-billionbrand-value
04 Mar 2013,business/tata-consultancy-services-gainsrising-brand-value
05 Mar 2013,stocks-views/prefer-mphasis-geometric-over-tcs-hcl-tech-sukhani
07 Mar 2013,stocks-views/book-profitstcs-says-angel-broking
07 Mar 2013,stocks-views/hold-tcsa-targetrs-1625-parag-doctor
08 Mar 2013,stocks-views/buy-hcl-technologies-tcs-rudra
11 Mar 2013,angel-broking-neutraltcs
11 Mar 2013,stocks-views/book-profittcs-infosys-hcl-tech-wipro-sp-tulsian
12 Mar 2013,stocks-views/super-six-stocks-you-can-betmarch-12
13 Mar 2013,hold-tata-consultancy-services-way2wealth
14 Mar 2013,announcements/tcs-wins-best-performing-consultancy-brand-awardeurope
15 Mar 2013,business/it-spend-across-markets-rising-no-big-wage-hike-seen-tcs
15 Mar 2013,business/q4-advance-tax-banks-likely-to-aid-mumbai-meet-its-target-
15 Mar 2013,stocks-views/6-trading-bets-that-can-fetch-you-handsome-returns
15 Mar 2013,stocks-views/buy-tcs-says-sudarshan-sukhani
21 Mar 2013,stocks-views/buy-tcs-ranbaxy-says-rahul-mohindar
21 Mar 2013,stocks-views/buy-tcs-says-sukhani
23 Mar 2013,announcements/tcs-wins-theknowlist-award-for-outstanding-achievement
25 Mar 2013,announcements/tcsstrategic-partnershipnorway-post
25 Mar 2013,business/tcs-wins-usd-43-m-contractnorway-post
26 Mar 2013,announcements/southern-water-partnerstcs-to-transform-customer-servicerevenue-management
26 Mar 2013,business/jlr-may-rework-2-outsourcing-contractstcs-sources
01 Apr 2013,announcements/tcs-ranked-as-no-1-top-employereurope
02 Apr 2013,stocks-views/tcs-infosys-likely-to-be-market-performer-homavazir
03 Apr 2013,stocks-views/see-lotspeculative-upsideadag-stocks-pn-vijay-
08 Apr 2013,announcements/tcs-fy13-resultsapril-17-2013
09 Apr 2013,announcements/tcs-to-buy-french-it-services-firm-alti-for-euro-75-mn
09 Apr 2013,brokerage-results-estimates/it-firms-may-report-moderate-growthjan-mar
09 Apr 2013,business/tata-consultancy-services-buys-french-it-provider-alti
09 Apr 2013,business/tcs-buys-alti-for-€75m-sees-deal-closure-by-q1-end
09 Apr 2013,business/tcs-to-buy-french-it-services-firm-alti-for-euro-75mn
09 Apr 2013,stocks-views/buy-tcsdecline-phani-sekhar
09 Apr 2013,stocks-views/hold-tcs-thununguntla
10 Apr 2013,accumulate-tcs-targetrs-1590-plilladher
10 Apr 2013,business/hcl-tech-may-beat-jan-march-forecasts-starmine
10 Apr 2013,business/how-to-trade-tcs-post-alti-acquisition
12 Apr 2013,business/focussales-not-margins-drives-infosys-turnaround
12 Apr 2013,business/tata-sons-releases-17-crore-pledged-sharestcs
12 Apr 2013,stocks-views/buying-opportunities-seenhcl-tech-tcs-sukhani
12 Apr 2013,stocks-views/hold-tata-consultancy-services-sekhar
12 Apr 2013,stocks-views/stay-investedtcs-thununguntla
12 Apr 2013,stocks-views/tcspreferred-pickit-space-sukhani
13 Apr 2013,stocks-views/buy-tcs-sudarshan-sukhani
14 Apr 2013,business/india-post-tcs-to-sign-rs-1400-cr-it-dealmonday
15 Apr 2013,stocks-views/go-longtcs-says-manoj-murlidharan
16 Apr 2013,brokerage-results-estimates/heresto-expecttcs-q4-earnings
16 Apr 2013,business/cmc-tumbles-as-q4-ebitda-margin-slips-qoq
17 Apr 2013,announcements/tcs-board-recommends-final-dividend
17 Apr 2013,announcements/tcs-recommends-dividend19-paiseredeemable-pref-shares
17 Apr 2013,business/changesh1b-visas-to-affect-indian-it-firms
17 Apr 2013,business/tcs-expects-strong-deal-pipeline-executives
17 Apr 2013,business/tcs-to-report-q4-results-today-stock-falls
17 Apr 2013,business/wage-hike-to-average-7-hire-45000-this-year-tcs
17 Apr 2013,hcl-technologies-profit73-percent-beats-estimates
17 Apr 2013,result-analysis/infy-margins-at-all-time-low-hcl-techs-at-all-time-high
17 Apr 2013,resultscompany-press-conference/tcs-confidentbeating-nasscom-guidancefy14
17 Apr 2013,stocks-views/hold-tata-consultancy-services-sekhar
17 Apr 2013,stocks-views/tcs-hcl-tech-look-good-chakraborty
17 Apr 2013,tcs-q4-net22-yoy-to-rs-3597crhigher-other-income
18 Apr 2013,business/tcs-slipsq4-results-citi-neutral-as-stock-expensive
18 Apr 2013,business/wage-hike-to-average-7-hire-45000-this-year-tcs
18 Apr 2013,result-analysis/strong-tcs-fails-to-please-buy-hcl-tech-equirus
18 Apr 2013,results-boardroom/deal-pipeline-strong-to-hire-45000-employeesfy14-tcs
18 Apr 2013,stocks-views/do-not-see-upsidetcs-says-bhavin-shah
18 Apr 2013,stocks-views/tcs-may-see-7-8-upside-patnaik
18 Apr 2013,stocks-views/tcsmarket-performer-says-aniruddha-mehta
19 Apr 2013,results-boardroom/q1-traditionally-weak-quarter-bullishq2-wipro
20 Apr 2013,accumulate-tcs-targetrs-1550-plilladher
20 Apr 2013,accumulate-tcs-targetrs-1585-angel-broking
20 Apr 2013,hold-tcs-targetrs-1450-anandrathi
21 Apr 2013,business/tcs-infosys-wiprohcl-tech-build-368-billion-cash-chest
21 Apr 2013,business/top-7-companies-add-rs-80056crm-cap-ongc-itc-shine
22 Apr 2013,announcements/tcs-earnstop-ranking-platinum-big-tick-for-corporate-responsibility
22 Apr 2013,business/us-immigration-bill-can-seriously-impact-indian-it-nasscom
22 Apr 2013,hold-tcs-targetrs-1609-ventura-securities
22 Apr 2013,stocks-views/prefer-infosys-over-wipro-sp-tulsian
22 Apr 2013,stocks-views/super-six-stocks-you-can-betapril-22
23 Apr 2013,business/hiring-activity-slowing-among-it-firms
23 Apr 2013,stocks-views/prefer-tcsit-space-says-jitendra-sriram
25 Apr 2013,announcements/tcs-introduces-intelligent-testing-system-at-ca-world-2013
25 Apr 2013,business/infy-openness-backfires-as-missed-guidance-frustrates-mkt
25 Apr 2013,stocks-views/infosys-may-see-further-downside-bhamre
26 Apr 2013,stocks-views/avoid-hcl-tech-says-sukhani
29 Apr 2013,stocks-views/short-tcs-wipro-hcl-techevery-rise-malkan
29 Apr 2013,stocks-views/tcs-may-slip-to-rs-1200-says-malkan
02 May 2013,business/cos-holding-rs-1101cr-unclaimed-dividends-ril-tops-list
02 May 2013,stocks-views/go-longhcl-technologies-tcs-tulsian
02 May 2013,stocks-views/go-longtcs-says-dutta
02 May 2013,stocks-views/sukhani-not-upbeatbanks-advises-to-buy-tcs-hcl-tech
06 May 2013,announcements/tcs-equity-shareholders-meetingmay-31-2013-to-approve-schemearrangement
06 May 2013,business/ril-surpasses-itc-to-reclaim-third-most-valued-co-status
06 May 2013,stocks-views/super-six-buysell-calls-for-may-06
09 May 2013,announcements/tcs-honored-as-2013-sap-pinnacle-award-recipient
09 May 2013,stocks-views/buy-tcs-says-sudarshan-sukhani
09 May 2013,stocks-views/like-hcl-tech-tcs-says-standard-chartered-securities
09 May 2013,stocks-views/tcs-hcl-tech-swing-trading-opportunities-sukhani
10 May 2013,business/tcs-plans-to-engage-4000-it-professionalodisha
13 May 2013,stocks-views/6-intraday-picks-to-make-smart-gains
14 May 2013,stocks-views/pn-vijay-bullishhcl-tech-tcs-indusindyes-bank
15 May 2013,stocks-views/buy-infosys-tcs-sudarshan-sukhani
20 May 2013,business/tcs-beats-ongc-to-become-most-valued-company
21 May 2013,business/aim-to-scaleall-6-chinese-hubs-tcs-chandrasekaran
21 May 2013,business/li-visits-tcs-mistry-says-china-important-for-tatas
21 May 2013,stocks-views/buy-tcs-sell-aurobindo-pharma-sukhani
21 May 2013,stocks-views/tcs-may-test-rs-1580-1590-shardul-kulkarni
22 May 2013,business/federal-bank-ties-uptcs-for-setting-upatms-
22 May 2013,business/rupee-fall-strong-tech-mahindra-results-boost-it-stocks
24 May 2013,stocks-views/prefer-tcs-hcl-tech-over-hexaware-sudarshan-sukhani
24 May 2013,stocks-views/short-tcs-target-at-rs-1420-yogesh-mehta
27 May 2013,stocks-views/6-trading-stocks-for-short-term-gain
29 May 2013,business/tcs-bags-rs-1100-cr-contractdepartmentposts
29 May 2013,stocks-views/super-six-short-term-picks-for-may-29
30 May 2013,announcements/tata-consultancy-services-agmjune-28-2013
30 May 2013,announcements/tcs-fixes-book-closure-for-final-dividendagm
30 May 2013,business/at-bbb+-ril-gets-best-ever-sp-rating
30 May 2013,business/did-infosys-get-it-wrongits-30-strategy
30 May 2013,stocks-views/tcs-hcl-tech-best-betsit-mehraboon-irani
01 Jun 2013,business/can-narayana-murthy-revive-infosysŌĆÖ-flagging-fortunes
01 Jun 2013,stocks-views/see-6-7-upsidetcs-prakash-diwan
01 Jun 2013,stocks-views/tcs-jubilant-long-term-bets-short-sbi-lt-prakash-diwan
03 Jun 2013,stocks-views/dont-buy-infosys-advises-ajay-srivastava
04 Jun 2013,announcements/tcs-named-onetop-10-companiesbest-business-outlook
04 Jun 2013,announcements/tcs-outcomecourt-convened-meeting
04 Jun 2013,business/tcs-finland-to-sackto-290-employees
04 Jun 2013,stocks-views/go-shorttcs-may-decline-to-rs-1350-jai-bala
04 Jun 2013,stocks-views/underweighttcs-says-sanjeev-prasad
05 Jun 2013,announcements/network-rail-uk-selects-tcs-as-strategic-partner-to-drive-transformation-through-it
05 Jun 2013,business/big-churninfosys-balakrishnan-to-head-lodestone
05 Jun 2013,business/tata-consultancy-services-wins-dealuks-network-rail
05 Jun 2013,business/tcs-cognizant-among-vendors-to-bag-uks-network-rail-deal
05 Jun 2013,business/tcs-concludes-negotiationsfinnish-employees
06 Jun 2013,business/tata-consultancy-may-cutto-290-jobsfinland
07 Jun 2013,stocks-views/longtcs-for-targetrs-1580-1590-mithil-pradhan
07 Jun 2013,stocks-views/tcs-may-touch-rs-1550-1570-nooresh-merani
08 Jun 2013,stocks-views/buy-tcs-dr-reddys-labsdecline-says-sukhani
10 Jun 2013,announcements/tcscanadas-ictc-to-roll-out-innovative-program-for-high-school-students
10 Jun 2013,stocks-views/buy-tcs-wipro-infosys-sudarshan-sukhani
10 Jun 2013,stocks-views/check-out-dipan-mehtas-top-betsitpharma-space
10 Jun 2013,stocks-views/remain-investedtcs-says-sp-tulsian
10 Jun 2013,stocks-views/super-six-stocks-you-can-betjune-10
11 Jun 2013,business/it-cos-set-to-getrupee-depreciation-boostq1
11 Jun 2013,stocks-views/hcl-tech-top-pickit-sector-surendra-goyal
12 Jun 2013,stocks-views/buy-tcs-at-rs-1300-1350-says-rajesh-agarwal
12 Jun 2013,stocks-views/check-out-top-super-six-ideas-forday
13 Jun 2013,business/infosys-hikes-pay-acrossboard-after-murthys-return
13 Jun 2013,business/murthys-return-boon-for-staff-infosys-hikes-salary-by-8
14 Jun 2013,stocks-views/top-super-six-ideas-that-you-can-bet-on
15 Jun 2013,business/narayana-murthy-at-agm-infosys-rebuilding-to-take-3-yrs
16 Jun 2013,business/mid-tier-it-firms-may-hike-wages-7-12-to-retain-talent
18 Jun 2013,announcements/tcs-joins-us2020-as-founding-leadership-partner
18 Jun 2013,announcements/tcs-positionedleaders-quadrant-for-fa-bpo-by-gartner
19 Jun 2013,announcements/tcs-ceo-n-chandrasekaran-named-onestemconnectors-100-ceo-leadersstem
19 Jun 2013,stocks-views/buy-tata-consultancy-services-sudarshan-sukhani
21 Jun 2013,stocks-views/buy-tcs-infosysdip-vk-sharma
26 Jun 2013,business/difficult-to-hedge-sharp-inr-fall-govt-must-intervene-tcs
26 Jun 2013,stocks-views/check-out-super-six-ideas-for-june-26
27 Jun 2013,stocks-views/exit-hcc-buy-wipro-tcs-icici-bank-sukhani
27 Jun 2013,stocks-views/multibagger-cmc-can-see-rs-1450six-mnths-says-tulsian
28 Jun 2013,business/us-immigration-bill-can-hit-epstop-5-it-cos-by-12-25
28 Jun 2013,business/what-narayana-murthys-second-innings-entails
28 Jun 2013,stocks-views/buy-hcl-technologies-wipro-sudarshan-sukhani
28 Jun 2013,stocks-views/hcl-tech-wipro-may-move-up-says-sukhani
28 Jun 2013,stocks-views/prefer-midcaps-like-cmc-niit-tech-jagdish-malkani
01 Jul 2013,stocks-views/cautiousinfosys-investhcl-tech-dipen-sheth
04 Jul 2013,stocks-views/short-indiabulls-real-go-longtcs-sudarshan-sukhani
06 Jul 2013,stocks-views/buy-hcl-technologies-gautam-sinha-roy
06 Jul 2013,stocks-views/hcl-tech-sun-pharma-ceatgood-buys-sharmila-joshi
06 Jul 2013,stocks-views/motilal-oswal-draws-upbuy-list-aheadq1-earnings
08 Jul 2013,brokerage-results-estimates/what-nomura-expectsinfosys-wipro-tcs-hcl-tech-q1
08 Jul 2013,business/ramadorais-appointment-as-nsda-head-hits-roadblock
09 Jul 2013,brokerage-results-estimates/it-firms-usd-revenue-growth-seen05-4-qoqapr-june
10 Jul 2013,business/renewed-us-demand-to-lift-infosys-india-it-sector-outlook
10 Jul 2013,business/tcs-replaces-tata-steel-as-indias-most-admired-company
11 Jul 2013,announcements/tcs-q1-resultsjuly-18-2013
11 Jul 2013,brokerage-results-estimates/infosys-may-lower-fy14-dollar-revenue-outlook-to-5-9-iifl
11 Jul 2013,brokerage-results-estimates/muted-earnings-growth-likelyq1fy14-nirmal-bang
11 Jul 2013,stocks-views/buy-tcs-hdfc-bank-sudarshan-sukhani
12 Jul 2013,business/infosystalksclientsus-immigration-bill
12 Jul 2013,result-analysis/infosys-options-buyers-may-be-looking-at-loss-dipan-mehta
15 Jul 2013,cmc-q1-net-slips-over-9-pchigher-tax-outgo
17 Jul 2013,business/nirmalya-kumar-appointed-to-gectata-sons
17 Jul 2013,result-poll/tcs-q1-analysts-expect-5-profit-growth-at-rs-3787-cr
17 Jul 2013,stocks-views/buy-tcscorrection-advises-sukhani
17 Jul 2013,stocks-views/buy-wipro-tcs-infosysdip-sudarshan-sukhani
18 Jul 2013,announcements/tata-consultancy-services-fixes-record-date-for-interim-dividend
18 Jul 2013,announcements/tcs-board-declares-interim-dividend
18 Jul 2013,brokerage-results-estimates/expect-tcs-q1-net-to-grow-55-at-rs-37946-cr-kotak-sec
18 Jul 2013,brokerage-results-estimates/tcs-q1-net-may-fall-33-at-rs-34785-cr-nirmal-bang
18 Jul 2013,brokerage-results-estimates/tcs-q1-net-may-grow-7-at-rs-38578-cr-emkay
18 Jul 2013,result-analysis/tcs-figures-positive-surpriserevenue-terms-quant-cap-
18 Jul 2013,stocks-views/go-longtcs-short-coal-india-devangshu-datta
18 Jul 2013,tcs-q1-net16-yoy-to-rs-3831-cr-beats-forecast
19 Jul 2013,accumulate-tcs-target-rs-1900-dolat-capital
19 Jul 2013,result-analysis/it-demand-environment-mixed-tcs-target-at-rs1800-religare
19 Jul 2013,results-boardroom/deal-pipeline-strong-see-stable-q2fy14-tcs-
19 Jul 2013,stocks-views/buy-tech-mahindra-hcl-tech-agarwal
19 Jul 2013,stocks-views/check-out-top-stocks-ideas-by-market-experts
19 Jul 2013,stocks-views/religare-raises-tcs-target-price-to-rs-1800-post-q1-nos
19 Jul 2013,stocks-views/sell-tcs-says-sudarshan-sukhani
19 Jul 2013,stocks-views/tcs-@-record-high-7-brokerages-advise-how-to-trade-post-q1
19 Jul 2013,stocks-views/tcs-may-touch-rs-1900-2000-sanjeev-agarwal
19 Jul 2013,stocks-views/tcs-top-pickit-space-jitendra-sriram
20 Jul 2013,hold-tcs-target-rs-1560-icicidirectcom
20 Jul 2013,stocks-views/bullishit-tata-chem-pvt-banks-seenfocus-joshi
23 Jul 2013,buy-tcs-target-rs-1893-firstcall-research
23 Jul 2013,stocks-views/buy-tata-consultancy-services-sudarshan-sukhani
24 Jul 2013,announcements/tcs-completes-acquisitionfrench-it-services-firm-alti
24 Jul 2013,business/tcs-acquires-frances-alti-sa-for-over-rs-530-cr
24 Jul 2013,business/tcs-completes-alti-buy-to-setnew-sap-innovation-centre
24 Jul 2013,stocks-views/buy-tata-consultancy-services-says-sudarshan-sukhani
24 Jul 2013,stocks-views/hcl-tech-tcs-will-outperform-nischal-maheshwari
24 Jul 2013,stocks-views/overweightit-space-hold-fmcg-patnaik
25 Jul 2013,result-poll/wipro-q1-net-profit-seen-down-5-qoq-to-rs-1640cr
26 Jul 2013,business/wipro-signals-demand-pick-up-after-profit-rise
26 Jul 2013,result-analysis/guidanceline-results-to-boost-wipro-stock-experts
26 Jul 2013,stocks-views/hcl-tech-tcs-look-safe-sangeeta-purushottam
26 Jul 2013,wipro-q1-net3-guides-for-36162-165b-q2-rev-growth
29 Jul 2013,announcements/tcs-to-moderniseautomate-taxation-systemzambia
30 Jul 2013,announcements/tcs-receives-partner-excellence-award
31 Jul 2013,hcl-technologies-profit-rises-42orders
03 Aug 2013,business/infosys-egm-approves-narayana-murthy-as-executive-chairman
05 Aug 2013,announcements/australian-pharmaceutical-industries-selects-tcs-for-integrationsap-erp-program
05 Aug 2013,business/tatasbirlas-will-have-to-downsize-too-much-debt
05 Aug 2013,stocks-views/bettata-consultancy-services-ambareesh-baliga
06 Aug 2013,business/tcs-to-begin-constructionphase-one100-acre-facility
06 Aug 2013,stocks-views/enter-infosys-at-current-levels-rahul-mohindar
06 Aug 2013,stocks-views/hold-tcs-says-mayuresh-joshi
07 Aug 2013,announcements/tcs-bancs-deployed-at-panzhihua-commercial-bank-chinarecord-time
08 Aug 2013,stocks-views/6-stock-ideas-to-livenyour-trade
08 Aug 2013,stocks-views/itc-set-to-correct-buy-tata-motors-hdfc-mehraboon-irani
08 Aug 2013,stocks-views/tcs-may-dip-to-rs-1500-sudarshan-sukhani
12 Aug 2013,announcements/tcs-to-setsoftware-development-campusindores-super-corridor
16 Aug 2013,business/orange-countycalifornia-drags-tcs-to-court
19 Aug 2013,stocks-views/avoid-tcs-hcl-tech-sudarshan-sukhani
23 Aug 2013,business/baring-to-buy-controlling-stakehexaware-for-36420-mn
23 Aug 2013,stocks-views/tech-mahindra-wipro-mindtree-top-picks-rahul-singh
24 Aug 2013,announcements/tcs-outcomeagm
28 Aug 2013,business/it-stocks-benefitrupee-fallfor-how-long
28 Aug 2013,business/rupee-flux-hampering-signingnew-contracts-nasscom
29 Aug 2013,stocks-views/6-intraday-picks-to-make-smart-gains
30 Aug 2013,stocks-views/brokerage-calls-buy-tcs-itc-maruti-tech-mah-dish-tv
02 Sep 2013,business/tcs-close-to-clinching-rs-200-cr-income-tax-dept-project
02 Sep 2013,stocks-views/ramesh-damani-positivetata-elxsi-geometric
03 Sep 2013,announcements/dnb-selects-tcs-as-its-it-transformation-partner
03 Sep 2013,business/tcs-bags-multi-million-euro-dealnorways-dnb-group
04 Sep 2013,announcements/tcs-ceomd-n-chandrasekaran-gets-honorary-doctoratenetherlands-top-private-business-school
04 Sep 2013,stocks-views/tcs-may-test-rs-2100-devangshu-datta
06 Sep 2013,business/tcs-pips-infy-to-bag-rs-200-cr-tax-deal
06 Sep 2013,stocks-views/buy-lic-housing-finance-sell-tcs-shardul-kulkarni
10 Sep 2013,business/tcs-bags-multi-million-euro-dealscandinavian-airlines
10 Sep 2013,stocks-views/trading-calls-what-brokeragesplacing-their-bets-on
11 Sep 2013,accumulate-tcs-targetrs-2300-p-lilladher
11 Sep 2013,announcements/scandinavian-airlines-selects-tcs-as-its-strategic-it-partner
12 Sep 2013,stocks-views/stay-investedtcs-sudarshan-sukhani
13 Sep 2013,announcements/tcsuk-govt-create-unique-cyber-policy-scholarship-for-indian-professionals
13 Sep 2013,business/vemuri-exit-infosys-continues-to-lose-senior-talent
13 Sep 2013,stocks-views/tcs-may-touch-rs-1850-1900-rahul-mohindar-
17 Sep 2013,announcements/tcsstemconnector-host-executive-round-tableus
17 Sep 2013,stocks-views/buy-tech-mahindratcs-says-shardul-kulkarni
18 Sep 2013,stocks-views/prefer-tcsit-space-jitendra-sriram
20 Sep 2013,announcements/tcs-demonstrates-significant-commitment-to-building-expertiseoracle-products
22 Sep 2013,business/india-has-huge-human-capital-potential-tcs-chief
24 Sep 2013,stocks-views/buy-tcs-says-abhay-laijawala
25 Sep 2013,announcements/saudi-aramco-getcs-launch-first-all-female-services-centersaudi-arabia
01 Oct 2013,business/cos-to-spendavg-usd-19-mnsocial-media2013-tcs
03 Oct 2013,announcements/new-york-road-runners-tcspremier-partnership
03 Oct 2013,stocks-views/brokerage-calls-buy-tcs-mm-icici-bank-ranbaxy
03 Oct 2013,stocks-views/hold-tcs-buy-mindtreehcl-tech-baliga
04 Oct 2013,stocks-views/6-stocks-likely-to-see-lotaction-today
04 Oct 2013,stocks-views/above-rs-2050-tcs-may-test-rs-2250-pritesh-mehta
04 Oct 2013,stocks-views/buy-tcs-advises-shardul-kulkarni
04 Oct 2013,stocks-views/tech-mahindra-may-touch-rs-1500-shardul-kulkarni
06 Oct 2013,business/strong-growth-expected-for-it-cosq2-analysts
08 Oct 2013,announcements/tata-consultancy-services-q2-resultsoctober-15-2013
08 Oct 2013,stocks-views/stay-investedtcs-advises-tulsian
10 Oct 2013,business/tcs-no-slowdown-here
11 Oct 2013,result-analysis/infosys-q2-see-fy14-growth-at-12-13-fy15-eps-at-rs-225-kotak
11 Oct 2013,result-analysis/infy-revenues-to-grow-at-11-115-tcs-top-bet-angel
11 Oct 2013,result-analysis/see-infosys-tcs-valuation-gap-narrowing-idfc
11 Oct 2013,results-cnbc-tv18-reports/infosys-beats-street-estimates-does-that-mean-tcs-wont
11 Oct 2013,stocks-views/accumulate-infosys-targetrs-3500-angel-broking
11 Oct 2013,stocks-views/bullishinfosys-may-test-rs-3500-salil-sharma
11 Oct 2013,stocks-views/hold-infosys-says-sharmila-joshi
14 Oct 2013,result-poll/tcs-q2-poll-profit-may-rise-19-at-rs-4527-cr-qoq
14 Oct 2013,stocks-views/buy-it-stockscorrection-satish-ramanathan
15 Oct 2013,announcements/tcs-declares-second-interim-dividend
15 Oct 2013,announcements/tcs-fixes-record-date-for-second-interim-dividend
15 Oct 2013,brokerage-results-estimates/tcs-q2-net-may-rise-202-at-rs-4563-cr-icicidirect
15 Oct 2013,brokerage-results-estimates/tcs-q2-net-may-rise-21-at-rs-4580-cr-motilal-oswal
15 Oct 2013,brokerage-results-estimates/tcs-q2-pat-seen16-at-rs-4393-cr-dolat-capital
15 Oct 2013,brokerage-results-estimates/tcs-q2-pat-seen17-at-rs-4439-cr-kr-choksey
15 Oct 2013,result-analysis/tcs-beats-street-expectations-experts-analyseq2-earnings
15 Oct 2013,results-boardroom/target-15-17-nims-no-tcs-merger-asnow-cmc
15 Oct 2013,results-cnbc-tv18-reports/tcs-q2-revenues-may-rise-55-to-usd-3339-mn
15 Oct 2013,stocks-views/stay-investedtcs-meharaboon-irani
15 Oct 2013,tcs-q2-beats-forecast-net24-to-rs-4702-cr
15 Oct 2013,tcs-to-upwardly-revise-hiring-numbers-for-fy14
16 Oct 2013,accumulate-tcs-target-rs-2500-dolat-capital
17 Oct 2013,accumulate-tcs-target-rs-2300-p-lilladher
17 Oct 2013,buy-tcs-target-rs-2440-firstcall-research
17 Oct 2013,result-analysis/hcl-tech-remains-top-it-pick-cautiousmindtree-ambit
17 Oct 2013,result-analysis/hcl-tech-results-disappointing-overweightinfosys-iifl
17 Oct 2013,result-analysis/see-15-upsidehcl-techcurrent-levels-quant-
17 Oct 2013,results-boardroom/tcs-plans-lateral-hiring-ups-fy14-target-to-50000
17 Oct 2013,results-boardroom/to-be-disciplinedbidding-aiming-26-28-margin-tcs
17 Oct 2013,stocks-views/book-partial-profitstcs-nooresh-merani
17 Oct 2013,stocks-views/hold-tcs-says-shahina-mukadam
18 Oct 2013,stocks-views/buy-tcs-2100-call-advises-vk-sharma
20 Oct 2013,business/tcs-making-serious-investmentsbig-data-cloud-mobility
21 Oct 2013,business/tcs-wins-multi-million-dollar-it-dealbombardier
22 Oct 2013,announcements/bombardier-transportation-selects-tcs-asstrategic-partner
22 Oct 2013,result-analysis/wipro-q2-beats-estimate-analysts-to-upgrade-their-outlook
22 Oct 2013,stocks-views/go-longtcs-advises-siddharth-bhamre
23 Oct 2013,result-analysis/wipro-q2-improvedstillworkprogress-cowen
23 Oct 2013,stocks-views/buy-tcs-around-rs-1700-1800-sudarshan-sukhani
23 Oct 2013,stocks-views/buy-tcs-at-around-rs-1900-1925-shardul-kulkarni
24 Oct 2013,announcements/everest-group-recognizes-tcs-as-star-performerleaderbanking-bpo-peak-matrix-report-
27 Oct 2013,business/indian-its-big-four-build-usd-9bn-cash-chest
30 Oct 2013,announcements/tcs-recognized-as-leadersaporacle-application-management-services-by-gartner
31 Oct 2013,stocks-views/pick-tcs-says-parag-thakkar
05 Nov 2013,business/talksselling-out-to-accenture-100-false-hcl-tech
06 Nov 2013,announcements/tcs-rankedtop-two-amongst-it-serviceoutsourcing-firmschina
